code,bankname,mapping code cronos(midas)
-,-,
DANA,DANA,dana
QRIS,QRIS,
ShopeePay,ShopeePay,shopeepay
TRI,TRI,
alo,Allo Bank,
bag,Bank Artha Graha,
bali,Bank BPD Bali,
bas,Bank Aceh Syariah,
bca,Bank BCA,
bca2,Bank BCA 2,
bca3,Bank BCA 3,
bcs,Bank CIMB Syariah,
bgk,Bank Bengkulu,
bjb,Bank BJB,
bjt,Bank Jateng,
bkp,Bank Bukopin,
bks,Bank KS,
bkt,Bank Kaltim,
blp,Bank Lampung,
blu,Bank BLU,
bmm,Bank Maluku Malut,
bmy,Bank Mayora,
bnc,Bank BNC,
bni,Bank BNI,
bni2,Bank BNI 2,
bns,Bank BNI Syariah,
bpi,Bank Panin,
bpp,Bank Papua,
bri,Bank BRI,
bri2,Bank BRI 2,
brk,Bank Riau Kepri,
brs,Bank BRI Syariah,
bse,Bank Sumsel Babel,
bsi,Bank BSI,
bsl,Bank Sulses,
bst,Bank Sulteng,
btn,Bank BTN,
btpn,Bank BTPN,
bxl,XL,
dana,DANA,dana
dana10,DANA 10,dana
dana11,DANA 11,dana
dana12,DANA 12,dana
dana13,DANA 13,dana
dana14,DANA 14,dana
dana15,DANA 15,dana
dana2,DANA 2,dana
dana3,DANA 3,dana
dana4,DANA 4,dana
dana5,DANA 5,dana
dana6,DANA 6,dana
dana7,DANA 7,dana
dana8,DANA 8,dana
dana9,DANA 9,dana
dbs,Bank DBS,
dki,Bank DKI,
dnm,Bank Danamon,
gpy,Go Pay,gopay
gpy2,Go Pay 2,gopay
gpy3,Go Pay 3,gopay
gpy4,Go Pay 4,gopay
gpy5,Go Pay 5,gopay
hana,Bank Hana,
ina,Bank INA,
ind,Bank Index,
indo,Indosat,
jat,Bank Jatim,
jgo,Bank Jago,
jns,Bank Jenius,
kal,Bank Kalbar,
klt,Bank Kalteng,
kmt,Bank Kaltimtara,
lka,Link Aja,linkaja
lka2,Link Aja 2,linkaja
lka3,Link Aja 3,linkaja
lka4,Link Aja 4,linkaja
lka5,Link Aja 5,linkaja
mas,Bank MAS,
mbb,Maybank,
mdr,Bank Mandiri,
mdr2,Bank Mandiri 2,
mds,Bank Mandiri Syariah,
meg,Bank Mega,
mml,Bank Muamalat,
mpd,Bank Mayapada,
neo,Bank NEO,
nga,Bank CIMB Niaga,
ngr,Bank Nagari,
nobu,Bank Nobu,
ntt,Bank NTT,
ocb,Bank OCBC,
ocbnisp,Bank OCBC NISP,
ovo,OVO,ovo
ovo2,OVO 2,ovo
ovo3,OVO 3,ovo
ovo4,OVO 4,ovo
ovo5,OVO 5,ovo
pmt,Bank Permata,
qris,QRIS 2,
qris4,QRIS 4,
qris5,QRIS 5,
qris6,QRIS 6,
qris7,QRIS 7,
qrs10,QRIS 10,
qrs11,QRIS 11,
qrs12,QRIS 12,
qrs13,QRIS 13,
qrs14,QRIS 14,
qrs15,QRIS 15,
qrs8,QRIS 8,
qrs9,QRIS 9,
qrsewlt,QRIS,
seb,Seabank,
skk,Sakuku,
skk2,Sakuku 2,
slt,Bank Sulut,
smt,Bank Sumut,
spe,Shopee Pay,shopeepay
spe2,Shopee Pay 2,shopeepay
srm,Bank Sinarmas,
sul,Bank Sultra,
three,Three,
tkl,Telkomsel,
tkl2,Telkomsel 2,
tkl3,Telkomsel 3,
tkl4,Telkomsel 4,
tkl5,Telkomsel 5,
uob,Bank UOB,
vic,Bank Victoria,
vrg,Virgo,
xl,XL,
xl2,XL 2,
xl3,XL 3,
xl4,XL 4,
xl5,XL 5,
